ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Mueang Chanthaburi,เมืองจันทบุรี,TH2201,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH
Khlung,ขลุง,TH2202,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH
Tha Mai,ท่าใหม่,TH2203,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH
Pong Nam Ron,โป่งน้ำร้อน,TH2204,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH
Makham,มะขาม,TH2205,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH
Laem Sing,แหลมสิงห์,TH2206,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH
Soi Dao,สอยดาว,TH2207,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH
Kaeng Hang Maeo,แก่งหางแมว,TH2208,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH
Na Yai Am,นายายอาม,TH2209,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH
Khao Khitchakut,เขาคิชฌกูฏ,TH2210,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH
