ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Mueang Ubon Ratchathani,เมืองอุบลราชธานี,TH3401,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH
Si Mueang Mai,ศรีเมืองใหม่,TH3402,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH
Khong Chiam,โขงเจียม,TH3403,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH
Khueang Nai,เขื่องใน,TH3404,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH
Khemarat,เขมราฐ,TH3405,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH
Det Udom,เดชอุดม,TH3407,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH
Na Chaluai,นาจะหลวย,TH3408,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH
Nam Yuen,น้ำยืน,TH3409,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH
Buntharik,บุณฑริก,TH3410,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH
Trakan Phuet Phon,ตระการพืชผล,TH3411,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH
Kut Khaopun,กุดข้าวปุ้น,TH3412,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH
Muang Sam Sip,ม่วงสามสิบ,TH3414,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH
Warin Chamrap,วารินชำราบ,TH3415,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH
Phibun Mangsahan,พิบูลมังสาหาร,TH3419,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH
Tan Sum,ตาลสุม,TH3420,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH
Pho Sai,โพธิ์ไทร,TH3421,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH
Samrong,สำโรง,TH3422,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH
Don Mot Daeng,ดอนมดแดง,TH3424,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH
Sirindhorn,สิรินธร,TH3425,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH
Thung Si Udom,ทุ่งศรีอุดม,TH3426,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH
Na Yia,นาเยีย,TH3429,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH
Na Tan,นาตาล,TH3430,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH
Lao Suea Kok,เหล่าเสือโก้ก,TH3431,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH
Sawang Wirawong,สว่างวีระวงศ์,TH3432,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH
Nam Khun,น้ำขุ่น,TH3433,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH
