Shape_Leng,Shape_Area,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM1_REF,ADM1ALT1EN,ADM1ALT2EN,ADM1ALT1TH,ADM1ALT2TH,ADM0_EN,ADM0_TH,ADM0_PCODE,date,validOn,validTo
4.41499765033,0.340784028045,Bueng Kan,บึงกาฬ,TH38,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
4.47881917307,0.345195299266,Nong Bua Lam Phu,หนองบัวลำภู,TH39,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
8.99416382362,0.897806795092,Khon Kaen,ขอนแก่น,TH40,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
10.0217455979,0.940132337742,Udon Thani,อุดรธานี,TH41,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
8.10576073526,0.893191301354,Loei,เลย,TH42,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
6.28876887085,0.278979363359,Nong Khai,หนองคาย,TH43,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
5.20845156304,0.473444475801,Maha Sarakham,มหาสารคาม,TH44,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
6.84045198457,0.659904662365,Roi Et,ร้อยเอ็ด,TH45,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
6.05479681624,0.583378084006,Kalasin,กาฬสินธุ์,TH46,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
7.83541019717,0.810090168122,Sakon Nakhon,สกลนคร,TH47,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
5.96031936508,0.474948826971,Nakhon Phanom,นครพนม,TH48,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
3.86942915778,0.34807889844,Mukdahan,มุกดาหาร,TH49,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
13.3463453706,1.90054643736,Chiang Mai,เชียงใหม่,TH50,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
5.00130374505,0.382707095481,Lamphun,ลำพูน,TH51,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
