ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE,REGION6,REGION4,DEST
Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Sing Buri,สิงห์บุรี,TH17,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Sing Buri,สิงห์บุรี,TH17,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Sing Buri,สิงห์บุรี,TH17,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Sing Buri,สิงห์บุรี,TH17,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Sing Buri,สิงห์บุรี,TH17,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Sing Buri,สิงห์บุรี,TH17,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
