ADM1_EN,ADM1_TH,ADM0_EN,ADM0_TH,ADM0_PCODE,REGION9,DESTINATIO,REGION6
Uttaradit,อุตรดิตถ์,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,เมืองรอง,ภาคเหนือ
Phrae,แพร่,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,เมืองรอง,ภาคเหนือ
Nan,น่าน,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,เมืองรอง,ภาคเหนือ
Phayao,พะเยา,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,เมืองรอง,ภาคเหนือ
Chiang Rai,เชียงราย,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,เมืองรอง,ภาคเหนือ
Mae Hong Son,แม่ฮ่องสอน,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,เมืองรอง,ภาคเหนือ
Nakhon Sawan,นครสวรรค์,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,เมืองรอง,ภาคกลาง
Uthai Thani,อุทัยธานี,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,เมืองรอง,ภาคกลาง
Kamphaeng Phet,กำแพงเพชร,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,เมืองรอง,ภาคกลาง
Tak,ตาก,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,เมืองรอง,ภาคตะวันตก
Sukhothai,สุโขทัย,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,เมืองรอง,ภาคกลาง
Phitsanulok,พิษณุโลก,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,เมืองรอง,ภาคกลาง
Phichit,พิจิตร,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,เมืองรอง,ภาคกลาง
Phetchabun,เพชรบูรณ์,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,เมืองรอง,ภาคกลาง
Ratchaburi,ราชบุรี,Thailand,ประเทศไทย,TH,ภาคตะวันตก,เมืองรอง,ภาคตะวันตก
Kanchanaburi,กาญจนบุรี,Thailand,ประเทศไทย,TH,ภาคตะวันตก,เมืองหลัก,ภาคตะวันตก
Suphan Buri,สุพรรณบุรี,Thailand,ประเทศไทย,TH,ภาคตะวันตก,เมืองรอง,ภาคกลาง
Nakhon Pathom,นครปฐม,Thailand,ประเทศไทย,TH,ภาคตะวันตก,เมืองหลัก,ภาคกลาง
Samut Sakhon,สมุทรสาคร,Thailand,ประเทศไทย,TH,ภาคตะวันตก,เมืองหลัก,ภาคกลาง
Samut Songkhram,สมุทรสงคราม,Thailand,ประเทศไทย,TH,ภาคตะวันตก,เมืองรอง,ภาคกลาง
Phetchaburi,เพชรบุรี,Thailand,ประเทศไทย,TH,ภาคตะวันตก,เมืองหลัก,ภาคตะวันตก
Prachuap Khiri Khan,ประจวบคีรีขันธ์,Thailand,ประเทศไทย,TH,ภาคตะวันตก,เมืองหลัก,ภาคตะวันตก
Nakhon Si Thammarat,นครศรีธรรมราช,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,เมืองรอง,ภาคใต้
Krabi,กระบี่,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,เมืองหลัก,ภาคใต้
Phangnga,พังงา,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,เมืองหลัก,ภาคใต้
Phuket,ภูเก็ต,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,เมืองหลัก,ภาคใต้
Surat Thani,สุราษฎร์ธานี,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,เมืองหลัก,ภาคใต้
Ranong,ระนอง,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,เมืองรอง,ภาคใต้
Chumphon,ชุมพร,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,เมืองรอง,ภาคใต้
Songkhla,สงขลา,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,เมืองหลัก,ภาคใต้
Satun,สตูล,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,เมืองรอง,ภาคใต้
Trang,ตรัง,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,เมืองรอง,ภาคใต้
Phatthalung,พัทลุง,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,เมืองรอง,ภาคใต้
Pattani,ปัตตานี,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,เมืองรอง,ภาคใต้
Yala,ยะลา,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,เมืองรอง,ภาคใต้
Narathiwat,นราธิวาส,Thailand,ประเทศไทย,TH,ภาคใต้ตอนล่าง,เมืองรอง,ภาคใต้
