Shape_Leng,Shape_Area,ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
1.49078740166,0.0641623496693,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,TH3001,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
2.25090943901,0.156038862113,Khon Buri,ครบุรี,TH3002,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
1.55181530361,0.0791043072674,Soeng Sang,เสิงสาง,TH3003,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
1.88007414841,0.0543368208646,Khong,คง,TH3004,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
0.790194950438,0.0189486234992,Ban Lueam,บ้านเหลื่อม,TH3005,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
1.58708953933,0.046712331884,Chakkarat,จักราช,TH3006,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
1.14399626663,0.0455369872737,Chok Chai,โชคชัย,TH3007,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
2.11095598279,0.117308135614,Dan Khun Thot,ด่านขุนทด,TH3008,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
1.30229094406,0.0458822815909,Non Thai,โนนไทย,TH3009,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
1.61150359868,0.0580370636339,Non Sung,โนนสูง,TH3010,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
0.749534766114,0.0285899622879,Kham Sakaesaeng,ขามสะแกแสง,TH3011,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
1.26975932593,0.0425180250599,Bua Yai,บัวใหญ่,TH3012,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
1.53311427357,0.044920490619,Prathai,ประทาย,TH3013,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
1.81907535017,0.0836873068223,Pak Thong Chai,ปักธงชัย,TH3014,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
2.290110249,0.0750507591926,Phimai,พิมาย,TH3015,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
1.20795414939,0.0447670529875,Huai Thalaeng,ห้วยแถลง,TH3016,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
1.68877523772,0.0540986294687,Chum Phuang,ชุมพวง,TH3017,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
1.60535725018,0.0644266484982,Sung Noen,สูงเนิน,TH3018,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
0.730100869276,0.0176845565838,Kham Thale So,ขามทะเลสอ,TH3019,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
1.83562835598,0.0984479008572,Sikhio,สีคิ้ว,TH3020,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
2.79007522386,0.164736786561,Pak Chong,ปากช่อง,TH3021,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
1.02205594265,0.0450828070253,Nong Bun Mak,หนองบุญมาก,TH3022,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
1.03839895864,0.0265942039343,Kaeng Sanam Nang,แก้งสนามนาง,TH3023,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
0.75396479719,0.0141766328876,Non Daeng,โนนแดง,TH3024,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
2.49442991206,0.0893265114165,Wang Nam Khiao,วังน้ำเขียว,TH3025,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
0.947021723424,0.0318469619219,Thepharak,เทพารักษ์,TH3026,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
1.20638079832,0.0225621644265,Mueang Yang,เมืองยาง,TH3027,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
0.942303919123,0.0287754003013,Phra Thong Kham,พระทองคำ,TH3028,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
0.984300346226,0.0230547268295,Lam Thamenchai,ลำทะเมนชัย,TH3029,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
0.585188156341,0.0148540417783,Bua Lai,บัวลาย,TH3030,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
0.859516742903,0.0148562450843,Sida,สีดา,TH3031,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
1.00406642477,0.0237950660669,Chaloem Phra Kiat,เฉลิมพระเกียรติ,TH3032,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
1.51517126151,0.0701054325544,Mueang Buri Ram,เมืองบุรีรัมย์,TH3101,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH
1.53509361359,0.0358061733349,Khu Mueang,คูเมือง,TH3102,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH
