Shape_Leng,Shape_Area,ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
1.72884239515,0.061270223401,Mueang Nakhon Sawan,เมืองนครสวรรค์,TH6001,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH
0.908707532473,0.0253336871016,Krok Phra,โกรกพระ,TH6002,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH
1.30994620474,0.0467874799387,Chum Saeng,ชุมแสง,TH6003,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH
1.57521568407,0.0697001900294,Nong Bua,หนองบัว,TH6004,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH
1.48230972129,0.0616570865558,Banphot Phisai,บรรพตพิสัย,TH6005,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH
0.822941275465,0.0186638047034,Kao Liao,เก้าเลี้ยว,TH6006,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH
1.67035094518,0.0699198144443,Takhli,ตาคลี,TH6007,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH
1.53059125275,0.0705755144826,Tha Tako,ท่าตะโก,TH6008,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH
1.79524841179,0.0839599684376,Phaisali,ไพศาลี,TH6009,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH
1.3242392944,0.0557633183608,Phayuha Khiri,พยุหะคีรี,TH6010,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH
1.53506551572,0.0631370484196,Lat Yao,ลาดยาว,TH6011,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH
1.40222243364,0.0411664179719,Tak Fa,ตากฟ้า,TH6012,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH
2.15596950125,0.0844359893116,Mae Wong,แม่วงก์,TH6013,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH
1.10382133221,0.0277728665249,Mae Poen,แม่เปิน,TH6014,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH
1.07318240355,0.0218296449602,Chum Ta Bong,ชุมตาบง,TH6015,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH
1.0422701955,0.0196523098444,Mueang Uthai Thani,เมืองอุทัยธานี,TH6101,Uthai Thani,อุทัยธานี,TH61,Thailand,ประเทศไทย,TH
1.05006464097,0.0305224643178,Thap Than,ทัพทัน,TH6102,Uthai Thani,อุทัยธานี,TH61,Thailand,ประเทศไทย,TH
1.2317548073,0.0366962542075,Sawang Arom,สว่างอารมณ์,TH6103,Uthai Thani,อุทัยธานี,TH61,Thailand,ประเทศไทย,TH
1.01404773129,0.0297925219218,Nong Chang,หนองฉาง,TH6104,Uthai Thani,อุทัยธานี,TH61,Thailand,ประเทศไทย,TH
0.828865373196,0.0135581960032,Nong Khayang,หนองขาหย่าง,TH6105,Uthai Thani,อุทัยธานี,TH61,Thailand,ประเทศไทย,TH
4.34007440595,0.277186406989,Ban Rai,บ้านไร่,TH6106,Uthai Thani,อุทัยธานี,TH61,Thailand,ประเทศไทย,TH
2.26153512364,0.122154700425,Lan Sak,ลานสัก,TH6107,Uthai Thani,อุทัยธานี,TH61,Thailand,ประเทศไทย,TH
1.17373351436,0.0291807475245,Huai Khot,ห้วยคต,TH6108,Uthai Thani,อุทัยธานี,TH61,Thailand,ประเทศไทย,TH
2.70185770386,0.124515127323,Mueang Kamphaeng Phet,เมืองกำแพงเพชร,TH6201,Kamphaeng Phet,กำแพงเพชร,TH62,Thailand,ประเทศไทย,TH
1.08792903999,0.0457473898221,Sai Ngam,ไทรงาม,TH6202,Kamphaeng Phet,กำแพงเพชร,TH62,Thailand,ประเทศไทย,TH
2.28630910713,0.123580978995,Khlong Lan,คลองลาน,TH6203,Kamphaeng Phet,กำแพงเพชร,TH62,Thailand,ประเทศไทย,TH
2.16386453697,0.0993214548215,Khanu Woralaksaburi,ขาณุวรลักษบุรี,TH6204,Kamphaeng Phet,กำแพงเพชร,TH62,Thailand,ประเทศไทย,TH
1.39364494077,0.0594982566403,Khlong Khlung,คลองขลุง,TH6205,Kamphaeng Phet,กำแพงเพชร,TH62,Thailand,ประเทศไทย,TH
2.03014812994,0.0850493943282,Phran Kratai,พรานกระต่าย,TH6206,Kamphaeng Phet,กำแพงเพชร,TH62,Thailand,ประเทศไทย,TH
1.25014242846,0.0347467929561,Lan Krabue,ลานกระบือ,TH6207,Kamphaeng Phet,กำแพงเพชร,TH62,Thailand,ประเทศไทย,TH
0.689482478095,0.0177544319617,Sai Thong Watthana,ทรายทองวัฒนา,TH6208,Kamphaeng Phet,กำแพงเพชร,TH62,Thailand,ประเทศไทย,TH
2.38847502179,0.063490779894,Pang Sila Thong,ปางศิลาทอง,TH6209,Kamphaeng Phet,กำแพงเพชร,TH62,Thailand,ประเทศไทย,TH
0.77036629108,0.0241699285031,Bueng Samakkhi,บึงสามัคคี,TH6210,Kamphaeng Phet,กำแพงเพชร,TH62,Thailand,ประเทศไทย,TH
1.85589925359,0.045852403884,Kosamphi Nakhon,โกสัมพีนคร,TH6211,Kamphaeng Phet,กำแพงเพชร,TH62,Thailand,ประเทศไทย,TH
