FID_Soil25,soilgroup,fertility,texture_to,soilserien,pH_top,soilseries,FID_wgs84_,AMPHOE_IDN,AMP_CODE,AMPHOE_T,AMPHOE_E,PROV_CODE,PROV_NAM_T,PROV_NAM_E,P_CODE,area_km2
791,4,ปานกลาง,ดินเหนียวปนทรายแป้ง,สระบุรี,กรดจัดถึงกรดเล็กน้อย,Sb,88,7202,02,อ.เดิมบางนางบวช,Amphoe Doem Bang Nang Buat,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,16.875314113791948
793,SC,nan,,พื้นที่ลาดชันเชิงซ้อน,,SC,88,7202,02,อ.เดิมบางนางบวช,Amphoe Doem Bang Nang Buat,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,6.4318781845564885
805,4,ปานกลาง,ดินร่วนเหนียวปนทรายแป้ง,สิงห์บุรี,กรดจัดถึงกรดเล็กน้อย,Sin,88,7202,02,อ.เดิมบางนางบวช,Amphoe Doem Bang Nang Buat,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,64.51192947291867
974,48B,ปานกลาง,ดินร่วนปนทราย,ท่ายาง,กรดจัดถึงกรดเล็กน้อย,Ty,88,7202,02,อ.เดิมบางนางบวช,Amphoe Doem Bang Nang Buat,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,0.19680739656984692
990,48D,ปานกลาง,ดินร่วนปนทราย,ท่ายาง,กรดจัดถึงกรดเล็กน้อย,Ty,88,7202,02,อ.เดิมบางนางบวช,Amphoe Doem Bang Nang Buat,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,0.05105347288435194
57,3,ปานกลาง,ดินเหนียว,บางเลน,กรดจัดถึงกรดเล็กน้อย,Bl,100,7204,04,อ.บางปลาม้า,Amphoe Bang Pa Ma,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,10.810549476497439
798,11,ปานกลาง,ดินเหนียว,เสนา,กรดจัดมาก,Se,100,7204,04,อ.บางปลาม้า,Amphoe Bang Pa Ma,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,184.49005880703868
13,2,ปานกลาง,ดินเหนียว,ชุดดินอยุธยา,กรดจัดมากึงกรดจัด,Ay,100,7204,04,อ.บางปลาม้า,Amphoe Bang Pa Ma,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,244.14895847203826
62,3,ปานกลาง,ดินเหนียว,บางเขน,กรดจัดมากึงกรดจัด,Bn,100,7204,04,อ.บางปลาม้า,Amphoe Bang Pa Ma,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,12.978701758059659
120,33,ปานกลาง,ดินร่วนปนทรายแป้ง,เชียงใหม่,กรดจัดมากถึงเป็นกลาง,Cm,100,7204,04,อ.บางปลาม้า,Amphoe Bang Pa Ma,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,1.818539043970622
121,4,ปานกลาง,ดินร่วนเหนียวปนทรายแป้ง,ชัยนาท,กรดจัดถึงกรดเล็กน้อย,Cn,100,7204,04,อ.บางปลาม้า,Amphoe Bang Pa Ma,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,38.144899377823734
122,4,ปานกลาง,ดินร่วนปนทรายแป้ง,ชัยนาท,กรดจัดถึงกรดเล็กน้อย,Cn,100,7204,04,อ.บางปลาม้า,Amphoe Bang Pa Ma,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,2.6527586271707135
805,4,ปานกลาง,ดินร่วนเหนียวปนทรายแป้ง,สิงห์บุรี,กรดจัดถึงกรดเล็กน้อย,Sin,100,7204,04,อ.บางปลาม้า,Amphoe Bang Pa Ma,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,2.082657764062104
57,3,ปานกลาง,ดินเหนียว,บางเลน,กรดจัดถึงกรดเล็กน้อย,Bl,97,7201,01,อ.เมืองสุพรรณบุรี,Amphoe Muang Saphan Buri,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,31.312731469170995
798,11,ปานกลาง,ดินเหนียว,เสนา,กรดจัดมาก,Se,97,7201,01,อ.เมืองสุพรรณบุรี,Amphoe Muang Saphan Buri,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,12.45751412872195
13,2,ปานกลาง,ดินเหนียว,ชุดดินอยุธยา,กรดจัดมากึงกรดจัด,Ay,97,7201,01,อ.เมืองสุพรรณบุรี,Amphoe Muang Saphan Buri,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,74.40961000061364
61,1,ปานกลาง,ดินร่วนปนดินเหนียว,บ้านหมี่,กรดจัดถึงกรดเล็กน้อย,Bm,97,7201,01,อ.เมืองสุพรรณบุรี,Amphoe Muang Saphan Buri,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,14.090034157251322
62,3,ปานกลาง,ดินเหนียว,บางเขน,กรดจัดมากึงกรดจัด,Bn,97,7201,01,อ.เมืองสุพรรณบุรี,Amphoe Muang Saphan Buri,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,11.253673188519572
120,33,ปานกลาง,ดินร่วนปนทรายแป้ง,เชียงใหม่,กรดจัดมากถึงเป็นกลาง,Cm,97,7201,01,อ.เมืองสุพรรณบุรี,Amphoe Muang Saphan Buri,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,9.333418734308964
121,4,ปานกลาง,ดินร่วนเหนียวปนทรายแป้ง,ชัยนาท,กรดจัดถึงกรดเล็กน้อย,Cn,97,7201,01,อ.เมืองสุพรรณบุรี,Amphoe Muang Saphan Buri,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,101.38143424744499
122,4,ปานกลาง,ดินร่วนปนทรายแป้ง,ชัยนาท,กรดจัดถึงกรดเล็กน้อย,Cn,97,7201,01,อ.เมืองสุพรรณบุรี,Amphoe Muang Saphan Buri,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,33.30505579489406
145,18,ต่ำ,ดินร่วนเหนียวปนทราย,เดิมบาง,กรดจัดมากถึงกรดเล็กน้อย,Db,97,7201,01,อ.เมืองสุพรรณบุรี,Amphoe Muang Saphan Buri,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,11.237429037277433
148,7,ต่ำ,ดินร่วนเหนียวปนทราย,เดิมบาง,กรดจัดมากถึงกรดเล็กน้อย,Db,97,7201,01,อ.เมืองสุพรรณบุรี,Amphoe Muang Saphan Buri,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,41.552980403613496
149,36,ปานกลาง,ดินร่วนปนทราย,ดอนเจดีย์,กรดจัดถึงกรดเล็กน้อย,Dc,97,7201,01,อ.เมืองสุพรรณบุรี,Amphoe Muang Saphan Buri,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,10.560400780972943
150,40,ปานกลาง,ดินร่วนปนทราย,ดอนเจดีย์,กรดจัดถึงกรดเล็กน้อย,Dc,97,7201,01,อ.เมืองสุพรรณบุรี,Amphoe Muang Saphan Buri,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,3.2389815672206295
298,1,ปานกลาง,ดินเหนียว,โคกกระเทียม,กรดจัดถึงกรดเล็กน้อย,Kk,97,7201,01,อ.เมืองสุพรรณบุรี,Amphoe Muang Saphan Buri,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,0.21985470678345995
582,7,ปานกลาง,ดินเหนียว,นครปฐม,กรดปานกลางถึงเป็นกลาง,Np,97,7201,01,อ.เมืองสุพรรณบุรี,Amphoe Muang Saphan Buri,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,7.205138444244664
783,21,ปานกลาง,ดินร่วนปนทรายแป้ง,สรรพยา,กรดปานกลางถึงเป็นกลาง,Sa,97,7201,01,อ.เมืองสุพรรณบุรี,Amphoe Muang Saphan Buri,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,5.780827909462016
799,11,ปานกลาง,ดินเหนียวปนทรายแป้ง,เสนา,กรดจัดมาก,Se,97,7201,01,อ.เมืองสุพรรณบุรี,Amphoe Muang Saphan Buri,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,3.267584561121652
805,4,ปานกลาง,ดินร่วนเหนียวปนทรายแป้ง,สิงห์บุรี,กรดจัดถึงกรดเล็กน้อย,Sin,97,7201,01,อ.เมืองสุพรรณบุรี,Amphoe Muang Saphan Buri,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,115.53170840600097
120,33,ปานกลาง,ดินร่วนปนทรายแป้ง,เชียงใหม่,กรดจัดมากถึงเป็นกลาง,Cm,93,7205,05,อ.ศรีประจันต์,Amphoe Si Prachan,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,15.217728417938922
121,4,ปานกลาง,ดินร่วนเหนียวปนทรายแป้ง,ชัยนาท,กรดจัดถึงกรดเล็กน้อย,Cn,93,7205,05,อ.ศรีประจันต์,Amphoe Si Prachan,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,106.66654674031523
122,4,ปานกลาง,ดินร่วนปนทรายแป้ง,ชัยนาท,กรดจัดถึงกรดเล็กน้อย,Cn,93,7205,05,อ.ศรีประจันต์,Amphoe Si Prachan,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,26.04207067472606
383,33b,ปานกลาง,ดินร่วนเหนียวปนทรายแป้ง,กำแพงแสน,กรดจัดถึงกรดเล็กน้อย,Ks,93,7205,05,อ.ศรีประจันต์,Amphoe Si Prachan,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,23.8587477966524
585,7,ปานกลาง,ดินร่วนเหนียวปนทรายแป้ง,นครปฐม,กรดปานกลางถึงเป็นกลาง,Np,93,7205,05,อ.ศรีประจันต์,Amphoe Si Prachan,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,26.11621929844691
805,4,ปานกลาง,ดินร่วนเหนียวปนทรายแป้ง,สิงห์บุรี,กรดจัดถึงกรดเล็กน้อย,Sin,93,7205,05,อ.ศรีประจันต์,Amphoe Si Prachan,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,50.349722031304125
379,33,ปานกลาง,ดินร่วนเหนียวปนทรายแป้ง,กำแพงแสน,กรดจัดถึงกรดเล็กน้อย,Ks,93,7205,05,อ.ศรีประจันต์,Amphoe Si Prachan,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,12.482694185753958
380,33,ปานกลาง,ดินร่วนปนทรายแป้ง,กำแพงแสน,กรดจัดถึงกรดเล็กน้อย,Ks,93,7205,05,อ.ศรีประจันต์,Amphoe Si Prachan,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,7.930466851750145
582,7,ปานกลาง,ดินเหนียว,นครปฐม,กรดปานกลางถึงเป็นกลาง,Np,93,7205,05,อ.ศรีประจันต์,Amphoe Si Prachan,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,8.23616315017867
791,4,ปานกลาง,ดินเหนียวปนทรายแป้ง,สระบุรี,กรดจัดถึงกรดเล็กน้อย,Sb,93,7205,05,อ.ศรีประจันต์,Amphoe Si Prachan,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,0.9580009189213049
