FID_Soil25,soilgroup,fertility,texture_to,soilserien,pH_top,soilseries,FID_wgs84_,AMPHOE_IDN,AMP_CODE,AMPHOE_T,AMPHOE_E,PROV_CODE,PROV_NAM_T,PROV_NAM_E,P_CODE,area_km2
843,48C,ปานกลาง,ดินร่วนปนทรายปนกรวด,ทับเสลา,กรดจัดถึงกรดเล็กน้อย,Tas,86,7203,03,อ.ด่านช้าง,Amphoe Dan Chang,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,0.25812681693279077
896,52,สูง,ดินร่วนปนดินเหนียว,ตาคลี,เป็นกลางถึงด่างปานกลาง,Tk,86,7203,03,อ.ด่านช้าง,Amphoe Dan Chang,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,2.8511813017513705
901,52B,สูง,ดินร่วนปนดินเหนียว,ตาคลี,เป็นกลางถึงด่างปานกลาง,Tk,86,7203,03,อ.ด่านช้าง,Amphoe Dan Chang,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,17.33995573839416
912,54,สูง,ดินร่วนปนดินเหนียว,ตาคลี,เป็นกลางถึงด่างปานกลาง,Tk,86,7203,03,อ.ด่านช้าง,Amphoe Dan Chang,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,1.7370423065322194
914,54B,สูง,ดินร่วนปนดินเหนียว,ตาคลี,เป็นกลางถึงด่างปานกลาง,Tk,86,7203,03,อ.ด่านช้าง,Amphoe Dan Chang,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,27.465236036953712
972,48B,ปานกลาง,ดินร่วนปนดินเหนียวปนกรวด,ท่ายาง,กรดจัดถึงกรดเล็กน้อย,Ty,86,7203,03,อ.ด่านช้าง,Amphoe Dan Chang,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,2.7871312543110025
974,48B,ปานกลาง,ดินร่วนปนทราย,ท่ายาง,กรดจัดถึงกรดเล็กน้อย,Ty,86,7203,03,อ.ด่านช้าง,Amphoe Dan Chang,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,5.650449426077688
978,48C,ปานกลาง,ดินร่วนปนดินเหนียวปนกรวด,ท่ายาง,กรดจัดถึงกรดเล็กน้อย,Ty,86,7203,03,อ.ด่านช้าง,Amphoe Dan Chang,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,2.047343168129351
981,48C,ปานกลาง,ดินร่วนปนทรายปนกรวด,ท่ายาง,กรดจัดถึงกรดเล็กน้อย,Ty,86,7203,03,อ.ด่านช้าง,Amphoe Dan Chang,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,8.99157666791737
983,48C,ปานกลาง,ดินร่วนปนทราย,ท่ายาง,กรดจัดถึงกรดเล็กน้อย,Ty,86,7203,03,อ.ด่านช้าง,Amphoe Dan Chang,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,45.35544270162278
987,48D,ปานกลาง,ดินร่วนปนดินเหนียวปนกรวด,ท่ายาง,กรดจัดถึงกรดเล็กน้อย,Ty,86,7203,03,อ.ด่านช้าง,Amphoe Dan Chang,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,0.0886192636659872
988,48D,ปานกลาง,ดินร่วนปนทรายปนกรวด,ท่ายาง,กรดจัดถึงกรดเล็กน้อย,Ty,86,7203,03,อ.ด่านช้าง,Amphoe Dan Chang,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,5.173916092112236
990,48D,ปานกลาง,ดินร่วนปนทราย,ท่ายาง,กรดจัดถึงกรดเล็กน้อย,Ty,86,7203,03,อ.ด่านช้าง,Amphoe Dan Chang,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,0.042185537893809674
991,48E,ปานกลาง,ดินร่วนปนดินเหนียวปนกรวด,ท่ายาง,กรดจัดถึงกรดเล็กน้อย,Ty,86,7203,03,อ.ด่านช้าง,Amphoe Dan Chang,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,0.07646096395955725
992,48E,ปานกลาง,ดินร่วนปนทรายปนกรวด,ท่ายาง,กรดจัดถึงกรดเล็กน้อย,Ty,86,7203,03,อ.ด่านช้าง,Amphoe Dan Chang,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,0.7516130358597641
1012,W,nan,,พื้นที่น้ำ,,W,86,7203,03,อ.ด่านช้าง,Amphoe Dan Chang,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,45.47471531005383
1016,31,ปานกลาง,ดินร่วนปนดินเหนียว,วังไห,กรดจัดถึงกรดปานกลาง,Wi,86,7203,03,อ.ด่านช้าง,Amphoe Dan Chang,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,0.8402469625555353
1018,31B,ปานกลาง,ดินร่วนปนดินเหนียว,วังไห,กรดจัดถึงกรดปานกลาง,Wi,86,7203,03,อ.ด่านช้าง,Amphoe Dan Chang,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,1.276569368576746
1040,31B,ปานกลาง,ดินร่วนปนดินเหนียว,วังสะพุง,กรดปานกลางถึงเป็นกลาง,Ws,86,7203,03,อ.ด่านช้าง,Amphoe Dan Chang,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,12.378170603475358
1041,31C,ปานกลาง,ดินร่วนปนดินเหนียว,วังสะพุง,กรดปานกลางถึงเป็นกลาง,Ws,86,7203,03,อ.ด่านช้าง,Amphoe Dan Chang,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,7.180636401042275
1045,55B,ปานกลาง,ดินร่วนปนดินเหนียว,วังสะพุง,กรดปานกลางถึงเป็นกลาง,Ws,86,7203,03,อ.ด่านช้าง,Amphoe Dan Chang,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,0.7465559795812563
1048,55C,ปานกลาง,ดินร่วนปนดินเหนียว,วังสะพุง,กรดปานกลางถึงเป็นกลาง,Ws,86,7203,03,อ.ด่านช้าง,Amphoe Dan Chang,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,9.2773863751848
1050,55D,ปานกลาง,ดินร่วนปนดินเหนียว,วังสะพุง,กรดปานกลางถึงเป็นกลาง,Ws,86,7203,03,อ.ด่านช้าง,Amphoe Dan Chang,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,1.201666648474022
145,18,ต่ำ,ดินร่วนเหนียวปนทราย,เดิมบาง,กรดจัดมากถึงกรดเล็กน้อย,Db,88,7202,02,อ.เดิมบางนางบวช,Amphoe Doem Bang Nang Buat,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,19.582216607530107
150,40,ปานกลาง,ดินร่วนปนทราย,ดอนเจดีย์,กรดจัดถึงกรดเล็กน้อย,Dc,88,7202,02,อ.เดิมบางนางบวช,Amphoe Doem Bang Nang Buat,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,11.036019904454964
361,36,ต่ำ,ดินร่วนปนทราย,เขาพลอง,กรดจัดถึงกรดเล็กน้อย,Kpg,88,7202,02,อ.เดิมบางนางบวช,Amphoe Doem Bang Nang Buat,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,51.38922609617596
362,36b,ต่ำ,ดินร่วนปนทราย,เขาพลอง,กรดจัดถึงกรดเล็กน้อย,Kpg,88,7202,02,อ.เดิมบางนางบวช,Amphoe Doem Bang Nang Buat,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,1.9847977464801958
366,40,ต่ำ,ดินร่วนปนทราย,เขาพลอง,กรดจัดมากถึงกรดเล็กน้อย,Kpg,88,7202,02,อ.เดิมบางนางบวช,Amphoe Doem Bang Nang Buat,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,10.5047727788704
371,40B,ต่ำ,ดินร่วนปนทราย,เขาพลอง,กรดจัดถึงกรดเล็กน้อย,Kpg,88,7202,02,อ.เดิมบางนางบวช,Amphoe Doem Bang Nang Buat,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,47.773276672544235
800,38Bs,ต่ำ,ดินทรายปนดินร่วน,ไทรงาม,กรดจัดถึงกรดเล็กน้อย,Sg,88,7202,02,อ.เดิมบางนางบวช,Amphoe Doem Bang Nang Buat,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,8.36738641695801
120,33,ปานกลาง,ดินร่วนปนทรายแป้ง,เชียงใหม่,กรดจัดมากถึงเป็นกลาง,Cm,88,7202,02,อ.เดิมบางนางบวช,Amphoe Doem Bang Nang Buat,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,33.34476525768952
121,4,ปานกลาง,ดินร่วนเหนียวปนทรายแป้ง,ชัยนาท,กรดจัดถึงกรดเล็กน้อย,Cn,88,7202,02,อ.เดิมบางนางบวช,Amphoe Doem Bang Nang Buat,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,135.5749687855198
148,7,ต่ำ,ดินร่วนเหนียวปนทราย,เดิมบาง,กรดจัดมากถึงกรดเล็กน้อย,Db,88,7202,02,อ.เดิมบางนางบวช,Amphoe Doem Bang Nang Buat,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,5.735442555961281
356,35b,ต่ำ,ดินร่วนปนทราย,เขาพลอง,กรดจัดถึงกรดเล็กน้อย,Kpg,88,7202,02,อ.เดิมบางนางบวช,Amphoe Doem Bang Nang Buat,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,2.659279341468253
375,44B,ต่ำ,ดินทรายปนดินร่วน,เขาพลอง,กรดจัดถึงกรดเล็กน้อย,Kpg,88,7202,02,อ.เดิมบางนางบวช,Amphoe Doem Bang Nang Buat,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,2.7536955741736118
535,5,ปานกลาง,ดินร่วนเหนียวปนทรายแป้ง,มโนรมย์,กรดจัดมากถึงกรดเล็กน้อย,Mn,88,7202,02,อ.เดิมบางนางบวช,Amphoe Doem Bang Nang Buat,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,4.772676012957791
584,7,ปานกลาง,ดินเหนียวปนทรายแป้ง,นครปฐม,กรดปานกลางถึงเป็นกลาง,Np,88,7202,02,อ.เดิมบางนางบวช,Amphoe Doem Bang Nang Buat,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,65.45325907593939
585,7,ปานกลาง,ดินร่วนเหนียวปนทรายแป้ง,นครปฐม,กรดปานกลางถึงเป็นกลาง,Np,88,7202,02,อ.เดิมบางนางบวช,Amphoe Doem Bang Nang Buat,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,11.37213943711667
770,RL,nan,,ที่ดินเต็มไปด้วยก้อนหิน,,RL,88,7202,02,อ.เดิมบางนางบวช,Amphoe Doem Bang Nang Buat,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,0.2905314935063253
782,21,ปานกลาง,ดินร่วนเหนียวปนทรายแป้ง,สรรพยา,กรดปานกลางถึงเป็นกลาง,Sa,88,7202,02,อ.เดิมบางนางบวช,Amphoe Doem Bang Nang Buat,72,จ.สุพรรณบุรี,Changwat Suphan Buri,SP,4.585031794363503
