ADM3_EN,ADM3_TH,ADM3_PCODE,ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE,lat,lon
Prawet,ประเวศ,TH103201,Prawet,ประเวศ,TH1032,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,13.71753406547819,100.6798241196545
Nong Bon,หนองบอน,TH103202,Prawet,ประเวศ,TH1032,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,13.686802948625681,100.65588261305166
Dokmai,ดอกไม้,TH103203,Prawet,ประเวศ,TH1032,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,13.680713266891791,100.68924224237213
Khlong Toei,คลองเตย,TH103301,Khlong Toei,คลองเตย,TH1033,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,13.717453781994497,100.56461416866158
Khlong Tan,คลองตัน,TH103302,Khlong Toei,คลองเตย,TH1033,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,13.722846407969694,100.57064357920781
Phra Khanong,พระโขนง,TH103303,Khlong Toei,คลองเตย,TH1033,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,13.709842828294143,100.58748025449928
Suan Luang,สวนหลวง,TH103401,Suan Luang,สวนหลวง,TH1034,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,13.725930249843893,100.62799451219833
Bang Khun Thian,บางขุนเทียน,TH103501,Chom Thong,จอมทอง,TH1035,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,13.697355554760763,100.4495792530009
Bang Kho,บางค้อ,TH103502,Chom Thong,จอมทอง,TH1035,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,13.706560324523695,100.46890532640823
Bang Mot,บางมด,TH103503,Chom Thong,จอมทอง,TH1035,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,13.671303027838192,100.46806236227998
Chom Thong,จอมทอง,TH103504,Chom Thong,จอมทอง,TH1035,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,13.688069946680999,100.46781755805165
Si Kan,สีกัน,TH103602,Don Mueang,ดอนเมือง,TH1036,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,13.939283844528738,100.58703896753984
Don Mueang,ดอนเมือง,TH103604,Don Mueang,ดอนเมือง,TH1036,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,13.917041832082456,100.57953880224571
Sanam Bin,สนามบิน,TH103605,Don Mueang,ดอนเมือง,TH1036,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,13.920243447394245,100.60908501662567
Thung Phaya Thai,ทุ่งพญาไท,TH103701,Ratchathewi,ราชเทวี,TH1037,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,13.763002050613593,100.52978597065328
