ADM3_EN,ADM3_TH,ADM3_PCODE,ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE,lat,lon
Bu Krasang,บุกระสัง,TH310510,Nong Ki,หนองกี่,TH3105,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.716556654262904,102.49340321481135
Lahan Sai,ละหานทราย,TH310601,Lahan Sai,ละหานทราย,TH3106,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.418310986918414,102.85797776024476
Ta Chong,ตาจง,TH310603,Lahan Sai,ละหานทราย,TH3106,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.423914940169654,102.92865353090848
Samrong Mai,สำโรงใหม่,TH310604,Lahan Sai,ละหานทราย,TH3106,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.283717083991668,102.85036376836952
Nong Waeng,หนองแวง,TH310607,Lahan Sai,ละหานทราย,TH3106,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.267033235543996,102.93495160476758
Nong Takhrong,หนองตะครอง,TH310610,Lahan Sai,ละหานทราย,TH3106,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.395338531965953,102.78776692424933
Khok Wan,โคกว่าน,TH310611,Lahan Sai,ละหานทราย,TH3106,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.461285582149893,102.81228273773274
Prakhon Chai,ประโคนชัย,TH310701,Prakhon Chai,ประโคนชัย,TH3107,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.613130252426908,103.08241890003993
Salaeng Thon,แสลงโทน,TH310702,Prakhon Chai,ประโคนชัย,TH3107,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.786865145146594,103.0553179573805
Ban Sai,บ้านไทร,TH310703,Prakhon Chai,ประโคนชัย,TH3107,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.706609248379854,103.06558948503772
Lawia,ละเวี้ย,TH310705,Prakhon Chai,ประโคนชัย,TH3107,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.5997516803088,103.19209370986907
Chorakhe Mak,จรเข้มาก,TH310706,Prakhon Chai,ประโคนชัย,TH3107,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.50002851273426,102.9885720166226
Pang Ku,ปังกู,TH310707,Prakhon Chai,ประโคนชัย,TH3107,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.538134755939554,103.06652413566374
Khok Yang,โคกย่าง,TH310708,Prakhon Chai,ประโคนชัย,TH3107,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.565978544669125,103.01098497649448
Khok Ma,โคกม้า,TH310710,Prakhon Chai,ประโคนชัย,TH3107,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.64067435043523,103.03449501641234
Phaisan,ไพศาล,TH310713,Prakhon Chai,ประโคนชัย,TH3107,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.655919981028276,103.20295615946108
Tako Taphi,ตะโกตาพิ,TH310714,Prakhon Chai,ประโคนชัย,TH3107,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.63575115473322,102.97734405319662
Khao Khok,เขาคอก,TH310715,Prakhon Chai,ประโคนชัย,TH3107,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.460308548406447,103.04306114513857
Nong Bon,หนองบอน,TH310716,Prakhon Chai,ประโคนชัย,TH3107,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.539328399724432,103.14133847872468
Khok Makham,โคกมะขาม,TH310718,Prakhon Chai,ประโคนชัย,TH3107,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.607768410090655,103.12823293369593
Khok Tum,โคกตูม,TH310719,Prakhon Chai,ประโคนชัย,TH3107,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.70262119544362,102.99101588207633
Prathat Bu,ประทัดบุ,TH310720,Prakhon Chai,ประโคนชัย,TH3107,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.576204517186317,102.97470288282122
Si Liam,สี่เหลี่ยม,TH310721,Prakhon Chai,ประโคนชัย,TH3107,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.748349628884771,103.00086500081693
Ban Kruat,บ้านกรวด,TH310801,Ban Kruat,บ้านกรวด,TH3108,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.43589050319539,103.08288132395917
Non Charoen,โนนเจริญ,TH310802,Ban Kruat,บ้านกรวด,TH3108,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.464100806775525,103.18918093181883
Nong Mai Ngam,หนองไม้งาม,TH310803,Ban Kruat,บ้านกรวด,TH3108,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.343702303630845,102.99801751214626
Prasat,ปราสาท,TH310804,Ban Kruat,บ้านกรวด,TH3108,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.364767981563105,103.10874795055788
Sai Taku,สายตะกู,TH310805,Ban Kruat,บ้านกรวด,TH3108,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.39666731401122,103.21149545701589
Hin Lat,หินลาด,TH310806,Ban Kruat,บ้านกรวด,TH3108,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.47314032308414,103.14352381254727
Bueng Charoen,บึงเจริญ,TH310807,Ban Kruat,บ้านกรวด,TH3108,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.342821277667904,103.05142787841305
Chanthop Phet,จันทบเพชร,TH310808,Ban Kruat,บ้านกรวด,TH3108,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.376184679319184,103.162466674983
Khao Din Nuea,เขาดินเหนือ,TH310809,Ban Kruat,บ้านกรวด,TH3108,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.52778805335077,103.19948451475126
Phutthaisong,พุทไธสง,TH310901,Phutthaisong,พุทไธสง,TH3109,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.573962834659593,103.01187166804931
Mafueang,มะเฟือง,TH310902,Phutthaisong,พุทไธสง,TH3109,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.497940182732432,103.03233030261387
Ban Chan,บ้านจาน,TH310903,Phutthaisong,พุทไธสง,TH3109,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.493023456739774,102.98781388013376
Ban Pao,บ้านเป้า,TH310906,Phutthaisong,พุทไธสง,TH3109,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.625109762626535,102.88874598315255
Ban Waeng,บ้านแวง,TH310907,Phutthaisong,พุทไธสง,TH3109,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.587612102019888,102.954382147057
Ban Yang,บ้านยาง,TH310909,Phutthaisong,พุทไธสง,TH3109,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.486141274464241,103.07493031293924
Hai Sok,หายโศก,TH310910,Phutthaisong,พุทไธสง,TH3109,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.5300514718707,102.93920063078252
Lam Plai Mat,ลำปลายมาศ,TH311001,Lam Plai Mat,ลำปลายมาศ,TH3110,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.019278322321536,102.83127037646635
Nong Khu,หนองคู,TH311002,Lam Plai Mat,ลำปลายมาศ,TH3110,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.021751248096566,102.8414264299634
Salaeng Phan,แสลงพัน,TH311003,Lam Plai Mat,ลำปลายมาศ,TH3110,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.994792959130242,102.9620940301905
Thamenchai,ทะเมนชัย,TH311004,Lam Plai Mat,ลำปลายมาศ,TH3110,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.048313652578466,102.94692532516862
Talat Pho,ตลาดโพธิ์,TH311005,Lam Plai Mat,ลำปลายมาศ,TH3110,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.080594651846546,102.89674429466481
Nong Kathing,หนองกะทิง,TH311006,Lam Plai Mat,ลำปลายมาศ,TH3110,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.973730988373129,102.77086074490768
Khok Klang,โคกกลาง,TH311007,Lam Plai Mat,ลำปลายมาศ,TH3110,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.9417823518169,102.85806155927158
Khok Sa-At,โคกสะอาด,TH311008,Lam Plai Mat,ลำปลายมาศ,TH3110,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.15134698170241,102.89834982785533
Mueang Faek,เมืองแฝก,TH311009,Lam Plai Mat,ลำปลายมาศ,TH3110,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.144528687032661,102.9730844041713
Ban Yang,บ้านยาง,TH311010,Lam Plai Mat,ลำปลายมาศ,TH3110,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.877829191226533,102.88422254530859
Phathai Rin,ผไทรินทร์,TH311011,Lam Plai Mat,ลำปลายมาศ,TH3110,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.927550945649784,102.74641501645698
Khok Lam,โคกล่าม,TH311012,Lam Plai Mat,ลำปลายมาศ,TH3110,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.115006073097494,102.83572626827724
Hin Khon,หินโคน,TH311013,Lam Plai Mat,ลำปลายมาศ,TH3110,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.058560682159273,102.80601961794488
Nong Bua Khok,หนองบัวโคก,TH311014,Lam Plai Mat,ลำปลายมาศ,TH3110,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.98677683843519,102.91076044648777
Bu Pho,บุโพธิ์,TH311015,Lam Plai Mat,ลำปลายมาศ,TH3110,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.109321203948724,102.93576858871157
Nong Don,หนองโดน,TH311016,Lam Plai Mat,ลำปลายมาศ,TH3110,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.878212301949489,102.82261080909203
Satuek,สตึก,TH311101,Satuek,สตึก,TH3111,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.262831289689474,103.30013479621131
Nikhom,นิคม,TH311102,Satuek,สตึก,TH3111,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.283468167475661,103.24327587656641
Thung Wang,ทุ่งวัง,TH311103,Satuek,สตึก,TH3111,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.253601657106124,103.4033412600537
Mueang Kae,เมืองแก,TH311104,Satuek,สตึก,TH3111,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.190266901712318,103.30781531866384
Nong Yai,หนองใหญ่,TH311105,Satuek,สตึก,TH3111,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.131131100778038,103.29126861631583
Ron Thong,ร่อนทอง,TH311106,Satuek,สตึก,TH3111,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.19840167509282,103.24087393745225
Don Mon,ดอนมนต์,TH311109,Satuek,สตึก,TH3111,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.209368147296402,103.18273143301882
Chum Saeng,ชุมแสง,TH311110,Satuek,สตึก,TH3111,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.13784976579071,103.3776158250893
Tha Muang,ท่าม่วง,TH311111,Satuek,สตึก,TH3111,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.299564646472511,103.44319021220285
Sakae,สะแก,TH311112,Satuek,สตึก,TH3111,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.299395679116857,103.35308279637674
Sanam Chai,สนามชัย,TH311114,Satuek,สตึก,TH3111,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.206925009082527,103.35685603494125
Krasang,กระสัง,TH311115,Satuek,สตึก,TH3111,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.197306167928092,103.40492115388719
Pakham,ปะคำ,TH311201,Pakham,ปะคำ,TH3112,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.447225419688126,102.73826098088774
Thai Charoen,ไทยเจริญ,TH311202,Pakham,ปะคำ,TH3112,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.45864227798239,102.68930064967881
Nong Bua,หนองบัว,TH311203,Pakham,ปะคำ,TH3112,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.431409910106945,102.65574248162703
Khok Mamuang,โคกมะม่วง,TH311204,Pakham,ปะคำ,TH3112,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.404150510794626,102.61321031376986
Hu Thamnop,หูทำนบ,TH311205,Pakham,ปะคำ,TH3112,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.364994921958898,102.696567370294
Na Pho,นาโพธิ์,TH311301,Na Pho,นาโพธิ์,TH3113,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.637567930252196,102.93764981862643
Ban Khu,บ้านคู,TH311302,Na Pho,นาโพธิ์,TH3113,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.708753172374616,102.91020521630075
Ban Du,บ้านดู่,TH311303,Na Pho,นาโพธิ์,TH3113,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.713614555261174,102.97677638099081
Don Kok,ดอนกอก,TH311304,Na Pho,นาโพธิ์,TH3113,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.760950598845053,102.91632701921802
Si Sawang,ศรีสว่าง,TH311305,Na Pho,นาโพธิ์,TH3113,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.658445058209995,102.95859175599757
Sa Kaeo,สระแก้ว,TH311401,Nong Hong,หนองหงส์,TH3114,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.829650269275694,102.68017500460681
Huai Hin,ห้วยหิน,TH311402,Nong Hong,หนองหงส์,TH3114,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.872264351103482,102.59380003287079
Thai Samakkhi,ไทยสามัคคี,TH311403,Nong Hong,หนองหงส์,TH3114,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.88763225911818,102.73564039670984
Nong Chai Si,หนองชัยศรี,TH311404,Nong Hong,หนองหงส์,TH3114,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.8185839589183,102.63134436395296
Sao Diao,เสาเดียว,TH311405,Nong Hong,หนองหงส์,TH3114,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.919087290803898,102.61477217562857
Mueang Fai,เมืองฝ้าย,TH311406,Nong Hong,หนองหงส์,TH3114,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.83906949361125,102.73991049076525
Sa Thong,สระทอง,TH311407,Nong Hong,หนองหงส์,TH3114,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.886544067757535,102.6695389995875
Chan Dum,จันดุม,TH311501,Phlapphla Chai,พลับพลาชัย,TH3115,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.673097104342949,103.13749630690756
Khok Khamin,โคกขมิ้น,TH311502,Phlapphla Chai,พลับพลาชัย,TH3115,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.768232246798345,103.19325578589361
Pa Chan,ป่าชัน,TH311503,Phlapphla Chai,พลับพลาชัย,TH3115,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.720895899486802,103.24337219644995
Sadao,สะเดา,TH311504,Phlapphla Chai,พลับพลาชัย,TH3115,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.723435805566004,103.16777182389876
Samrong,สำโรง,TH311505,Phlapphla Chai,พลับพลาชัย,TH3115,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.776044028925073,103.11299544061819
Huai Rat,ห้วยราช,TH311601,Huai Rat,ห้วยราช,TH3116,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.963648583443625,103.18326889502606
Sam Waeng,สามแวง,TH311602,Huai Rat,ห้วยราช,TH3116,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.002009218489913,103.20947953519124
Ta Sao,ตาเสา,TH311603,Huai Rat,ห้วยราช,TH3116,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.088546184553428,103.28436848137912
Ban Tako,บ้านตะโก,TH311604,Huai Rat,ห้วยราช,TH3116,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.965317684838018,103.2331672367756
Sanuan,สนวน,TH311605,Huai Rat,ห้วยราช,TH3116,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.932063120007262,103.18234780384749
Khok Lek,โคกเหล็ก,TH311606,Huai Rat,ห้วยราช,TH3116,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.023157266930145,103.22854867545189
Mueang Pho,เมืองโพธิ์,TH311607,Huai Rat,ห้วยราช,TH3116,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.046140067504973,103.26575999663036
Huai Racha,ห้วยราชา,TH311608,Huai Rat,ห้วยราช,TH3116,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.984458498121722,103.18949175896542
Non Suwan,โนนสุวรรณ,TH311701,Non Suwan,โนนสุวรรณ,TH3117,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.536633507533793,102.60513596370762
Thung Changhan,ทุ่งจังหัน,TH311702,Non Suwan,โนนสุวรรณ,TH3117,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.564682456209674,102.55932303910518
Krok Kaeo,โกรกแก้ว,TH311703,Non Suwan,โนนสุวรรณ,TH3117,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.607816351166942,102.6123475356117
Dong I Chan,ดงอีจาน,TH311704,Non Suwan,โนนสุวรรณ,TH3117,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.547513867286884,102.51772372181989
Chamni,ชำนิ,TH311801,Chamni,ชำนิ,TH3118,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.795471649402245,102.82578661867502
Nong Plong,หนองปล่อง,TH311802,Chamni,ชำนิ,TH3118,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.738988050379376,102.85481932624167
Mueang Yang,เมืองยาง,TH311803,Chamni,ชำนิ,TH3118,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.798423933736165,102.88606451068947
Cho Phaka,ช่อผกา,TH311804,Chamni,ชำนิ,TH3118,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.828125290029577,102.81167552338736
Laluat,ละลวด,TH311805,Chamni,ชำนิ,TH3118,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.780725852714715,102.74621865142399
Khok Sanuan,โคกสนวน,TH311806,Chamni,ชำนิ,TH3118,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.754179611634953,102.89175093048094
Nong Waeng,หนองแวง,TH311901,Ban Mai Chaiyaphot,บ้านใหม่ไชยพจน์,TH3119,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.564416174142371,102.8822359892611
Thong Lang,ทองหลาง,TH311902,Ban Mai Chaiyaphot,บ้านใหม่ไชยพจน์,TH3119,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.611717333023492,102.80780569087392
Daeng Yai,แดงใหญ่,TH311903,Ban Mai Chaiyaphot,บ้านใหม่ไชยพจน์,TH3119,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.597098027661392,102.8715028575323
Ku Suan Taeng,กู่สวนแตง,TH311904,Ban Mai Chaiyaphot,บ้านใหม่ไชยพจน์,TH3119,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.534835341342879,102.86168685319096
Nong Yueang,หนองเยือง,TH311905,Ban Mai Chaiyaphot,บ้านใหม่ไชยพจน์,TH3119,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.552959299215829,102.81117902075447
Non Din Daeng,โนนดินแดง,TH312001,Non Din Daeng,โนนดินแดง,TH3120,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.250831927132904,102.78141509624689
Som Poi,ส้มป่อย,TH312002,Non Din Daeng,โนนดินแดง,TH3120,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.345861231103386,102.76288314118078
Lam Nang Rong,ลำนางรอง,TH312003,Non Din Daeng,โนนดินแดง,TH3120,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.204629737283984,102.63956663761289
Ban Dan,บ้านด่าน,TH312101,Ban Dan,บ้านด่าน,TH3121,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.11284234858243,103.16018916404738
Prasat,ปราสาท,TH312102,Ban Dan,บ้านด่าน,TH3121,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.083539453165182,103.22132723720017
Wang Nuea,วังเหนือ,TH312103,Ban Dan,บ้านด่าน,TH3121,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.137406941177371,103.21469709468695
Non Khwang,โนนขวาง,TH312104,Ban Dan,บ้านด่าน,TH3121,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.189734538266961,103.15655697146016
Khaen Dong,แคนดง,TH312201,Khaen Dong,แคนดง,TH3122,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.31580365172526,103.1216671782696
Dong Phlong,ดงพลอง,TH312202,Khaen Dong,แคนดง,TH3122,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.314200493280106,103.16788154306896
Sa Bua,สระบัว,TH312203,Khaen Dong,แคนดง,TH3122,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.324106270212416,103.0767648818862
Hua Fai,หัวฝาย,TH312204,Khaen Dong,แคนดง,TH3122,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,15.276096105591481,103.18579359967103
Charoen Suk,เจริญสุข,TH312301,Chaloem Phra Kiat,เฉลิมพระเกียรติ,TH3123,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.574987937749071,102.86374971545163
Ta Pek,ตาเป๊ก,TH312302,Chaloem Phra Kiat,เฉลิมพระเกียรติ,TH3123,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.563038225429441,102.92180824231693
Isan Khet,อีสานเขต,TH312303,Chaloem Phra Kiat,เฉลิมพระเกียรติ,TH3123,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.63804882557691,102.91902266477281
Thawon,ถาวร,TH312304,Chaloem Phra Kiat,เฉลิมพระเกียรติ,TH3123,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.511363225553033,102.84705536414697
Yai Yaem Watthana,ยายแย้มวัฒนา,TH312305,Chaloem Phra Kiat,เฉลิมพระเกียรติ,TH3123,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,14.506480371975027,102.91793159235654
Nai Mueang,ในเมือง,TH320101,Mueang Surin,เมืองสุรินทร์,TH3201,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,14.88853874600329,103.49508249084955
Tang Chai,ตั้งใจ,TH320102,Mueang Surin,เมืองสุรินทร์,TH3201,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,15.0741180147594,103.54689987142604
Phia Ram,เพี้ยราม,TH320103,Mueang Surin,เมืองสุรินทร์,TH3201,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,15.06603457995506,103.46880610450125
Na Di,นาดี,TH320104,Mueang Surin,เมืองสุรินทร์,TH3201,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,15.02075260494701,103.50565699068137
Tha Sawang,ท่าสว่าง,TH320105,Mueang Surin,เมืองสุรินทร์,TH3201,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,14.96041787337797,103.45655285817999
Salak Dai,สลักได,TH320106,Mueang Surin,เมืองสุรินทร์,TH3201,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,14.85542272351181,103.56688831892453
Ta-Ong,ตาอ็อง,TH320107,Mueang Surin,เมืองสุรินทร์,TH3201,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,14.747905491665534,103.59278633390764
Samrong,สำโรง,TH320109,Mueang Surin,เมืองสุรินทร์,TH3201,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,14.799046240447746,103.6251651982135
Kae Yai,แกใหญ่,TH320110,Mueang Surin,เมืองสุรินทร์,TH3201,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,14.948047160663348,103.51436847576555
Nok Mueang,นอกเมือง,TH320111,Mueang Surin,เมืองสุรินทร์,TH3201,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,14.860119763971205,103.494175115979
Kho Kho,คอโค,TH320112,Mueang Surin,เมืองสุรินทร์,TH3201,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,14.886123815196925,103.42792003397835
Sawai,สวาย,TH320113,Mueang Surin,เมืองสุรินทร์,TH3201,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,14.792405147577474,103.33700593143948
Chaniang,เฉนียง,TH320114,Mueang Surin,เมืองสุรินทร์,TH3201,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,14.79444621503983,103.47462053420567
Then Mi,เทนมีย์,TH320116,Mueang Surin,เมืองสุรินทร์,TH3201,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,14.774821995458753,103.54199845366558
Na Bua,นาบัว,TH320118,Mueang Surin,เมืองสุรินทร์,TH3201,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,14.78200244060564,103.41192792855026
Mueang Thi,เมืองที,TH320119,Mueang Surin,เมืองสุรินทร์,TH3201,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,14.90825555955098,103.65356663349536
