ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE,REGION9,REGION6,DESTINATION
Mueang Chiang Mai,เมืองเชียงใหม่,TH5001,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองหลัก
Chom Thong,จอมทอง,TH5002,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองหลัก
Mae Chaem,แม่แจ่ม,TH5003,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองหลัก
Chiang Dao,เชียงดาว,TH5004,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองหลัก
Doi Saket,ดอยสะเก็ด,TH5005,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองหลัก
Mae Taeng,แม่แตง,TH5006,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองหลัก
Mae Rim,แม่ริม,TH5007,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองหลัก
Samoeng,สะเมิง,TH5008,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองหลัก
Fang,ฝาง,TH5009,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองหลัก
Mae Ai,แม่อาย,TH5010,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองหลัก
Phrao,พร้าว,TH5011,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองหลัก
San Pa Tong,สันป่าตอง,TH5012,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองหลัก
San Kamphaeng,สันกำแพง,TH5013,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองหลัก
San Sai,สันทราย,TH5014,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองหลัก
Hang Dong,หางดง,TH5015,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองหลัก
Hot,ฮอด,TH5016,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองหลัก
Doi Tao,ดอยเต่า,TH5017,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองหลัก
Omkoi,อมก๋อย,TH5018,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองหลัก
Saraphi,สารภี,TH5019,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองหลัก
Wiang Haeng,เวียงแหง,TH5020,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองหลัก
Chai Prakan,ไชยปราการ,TH5021,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองหลัก
Mae Wang,แม่วาง,TH5022,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองหลัก
Mae On,แม่ออน,TH5023,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองหลัก
Doi Lo,ดอยหล่อ,TH5024,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองหลัก
Galyani Vadhana,กัลยาณิวัฒนา,TH5025,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองหลัก
Mueang Lamphun,เมืองลำพูน,TH5101,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองรอง
Mae Tha,แม่ทา,TH5102,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองรอง
Ban Hong,บ้านโฮ่ง,TH5103,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองรอง
Li,ลี้,TH5104,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองรอง
Thung Hua Chang,ทุ่งหัวช้าง,TH5105,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองรอง
Pa Sang,ป่าซาง,TH5106,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองรอง
Ban Thi,บ้านธิ,TH5107,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองรอง
Wiang Nong Long,เวียงหนองล่อง,TH5108,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองรอง
Mueang Lampang,เมืองลำปาง,TH5201,Lampang,ลำปาง,TH52,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองรอง
Mae Mo,แม่เมาะ,TH5202,Lampang,ลำปาง,TH52,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองรอง
Ko Kha,เกาะคา,TH5203,Lampang,ลำปาง,TH52,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองรอง
Soem Ngam,เสริมงาม,TH5204,Lampang,ลำปาง,TH52,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองรอง
Ngao,งาว,TH5205,Lampang,ลำปาง,TH52,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองรอง
Chae Hom,แจ้ห่ม,TH5206,Lampang,ลำปาง,TH52,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองรอง
Wang Nuea,วังเหนือ,TH5207,Lampang,ลำปาง,TH52,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองรอง
Thoen,เถิน,TH5208,Lampang,ลำปาง,TH52,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองรอง
Mae Phrik,แม่พริก,TH5209,Lampang,ลำปาง,TH52,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองรอง
Mae Tha,แม่ทะ,TH5210,Lampang,ลำปาง,TH52,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองรอง
Sop Prap,สบปราบ,TH5211,Lampang,ลำปาง,TH52,Thailand,ประเทศไทย,TH,ภาคเหนือตอนบน,ภาคเหนือ,เมืองรอง
