ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE,REGION9,REGION6,DESTINATION
Don Mueang,ดอนเมือง,TH1036,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Ratchathewi,ราชเทวี,TH1037,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Lat Phrao,ลาดพร้าว,TH1038,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Vadhana,วัฒนา,TH1039,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Bang Khae,บางแค,TH1040,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Lak Si,หลักสี่,TH1041,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Sai Mai,สายไหม,TH1042,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Khan Na Yao,คันนายาว,TH1043,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Saphan Sung,สะพานสูง,TH1044,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Wang Thonglang,วังทองหลาง,TH1045,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Khlong Sam Wa,คลองสามวา,TH1046,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Bang Na,บางนา,TH1047,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Thawi Watthana,ทวีวัฒนา,TH1048,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Thung Khru,ทุ่งครุ,TH1049,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Bang Bon,บางบอน,TH1050,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Mueang Samut Prakan,เมืองสมุทรปราการ,TH1101,Samut Prakan,สมุทรปราการ,TH11,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Bang Bo,บางบ่อ,TH1102,Samut Prakan,สมุทรปราการ,TH11,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Bang Phli,บางพลี,TH1103,Samut Prakan,สมุทรปราการ,TH11,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Phra Pradaeng,พระประแดง,TH1104,Samut Prakan,สมุทรปราการ,TH11,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Phra Samut Chedi,พระสมุทรเจดีย์,TH1105,Samut Prakan,สมุทรปราการ,TH11,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Bang Sao Thong,บางเสาธง,TH1106,Samut Prakan,สมุทรปราการ,TH11,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Mueang Nonthaburi,เมืองนนทบุรี,TH1201,Nonthaburi,นนทบุรี,TH12,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Bang Kruai,บางกรวย,TH1202,Nonthaburi,นนทบุรี,TH12,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Bang Yai,บางใหญ่,TH1203,Nonthaburi,นนทบุรี,TH12,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Bang Bua Thong,บางบัวทอง,TH1204,Nonthaburi,นนทบุรี,TH12,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Sai Noi,ไทรน้อย,TH1205,Nonthaburi,นนทบุรี,TH12,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Pak Kret,ปากเกร็ด,TH1206,Nonthaburi,นนทบุรี,TH12,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Mueang Pathum Thani,เมืองปทุมธานี,TH1301,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Khlong Luang,คลองหลวง,TH1302,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Thanyaburi,ธัญบุรี,TH1303,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Nong Suea,หนองเสือ,TH1304,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
Lat Lum Kaeo,ลาดหลุมแก้ว,TH1305,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองหลัก
