ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE,REGION9,REGION6,DESTINATION
Mueang Chon Buri,เมืองชลบุรี,TH2001,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Ban Bueng,บ้านบึง,TH2002,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Nong Yai,หนองใหญ่,TH2003,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Bang Lamung,บางละมุง,TH2004,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Phan Thong,พานทอง,TH2005,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Phanat Nikhom,พนัสนิคม,TH2006,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Si Racha,ศรีราชา,TH2007,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Ko Si Chang,เกาะสีชัง,TH2008,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Sattahip,สัตหีบ,TH2009,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Bo Thong,บ่อทอง,TH2010,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Ko Chan,เกาะจันทร์,TH2011,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Mueang Rayong,เมืองระยอง,TH2101,Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Ban Chang,บ้านฉาง,TH2102,Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Klaeng,แกลง,TH2103,Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Wang Chan,วังจันทร์,TH2104,Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Ban Khai,บ้านค่าย,TH2105,Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Pluak Daeng,ปลวกแดง,TH2106,Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Khao Chamao,เขาชะเมา,TH2107,Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Nikhom Phatthana,นิคมพัฒนา,TH2108,Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Mueang Chanthaburi,เมืองจันทบุรี,TH2201,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองรอง
Khlung,ขลุง,TH2202,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองรอง
Tha Mai,ท่าใหม่,TH2203,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองรอง
Pong Nam Ron,โป่งน้ำร้อน,TH2204,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองรอง
Makham,มะขาม,TH2205,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองรอง
Laem Sing,แหลมสิงห์,TH2206,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองรอง
Soi Dao,สอยดาว,TH2207,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองรอง
Kaeng Hang Maeo,แก่งหางแมว,TH2208,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองรอง
Na Yai Am,นายายอาม,TH2209,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองรอง
Khao Khitchakut,เขาคิชฌกูฏ,TH2210,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองรอง
Mueang Trat,เมืองตราด,TH2301,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองรอง
Khlong Yai,คลองใหญ่,TH2302,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองรอง
Khao Saming,เขาสมิง,TH2303,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองรอง
Bo Rai,บ่อไร่,TH2304,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองรอง
Laem Ngop,แหลมงอบ,TH2305,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองรอง
Ko Kut,เกาะกูด,TH2306,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองรอง
Ko Chang,เกาะช้าง,TH2307,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองรอง
Mueang Chachoengsao,เมืองฉะเชิงเทรา,TH2401,Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Bang Khla,บางคล้า,TH2402,Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Bang Nam Priao,บางน้ำเปรี้ยว,TH2403,Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Bang Pakong,บางปะกง,TH2404,Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Ban Pho,บ้านโพธิ์,TH2405,Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Phanom Sarakham,พนมสารคาม,TH2406,Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Ratchasan,ราชสาส์น,TH2407,Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Sanam Chai Khet,สนามชัยเขต,TH2408,Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
