ADM3_EN,ADM3_TH,ADM3_PCODE,ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Phan Don,พันดอน,TH410402,Kumphawapi,กุมภวาปี,TH4104,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Wiang Kham,เวียงคำ,TH410403,Kumphawapi,กุมภวาปี,TH4104,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Chae Lae,แชแล,TH410404,Kumphawapi,กุมภวาปี,TH4104,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Chiang Wae,เชียงแหว,TH410406,Kumphawapi,กุมภวาปี,TH4104,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Huai Koeng,ห้วยเกิ้ง,TH410407,Kumphawapi,กุมภวาปี,TH4104,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Soe Phloe,เสอเพลอ,TH410409,Kumphawapi,กุมภวาปี,TH4104,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Si-O,สีออ,TH410410,Kumphawapi,กุมภวาปี,TH4104,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Pakho,ปะโค,TH410411,Kumphawapi,กุมภวาปี,TH4104,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Pha Suk,ผาสุก,TH410413,Kumphawapi,กุมภวาปี,TH4104,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Tha Li,ท่าลี่,TH410414,Kumphawapi,กุมภวาปี,TH4104,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Kumphawapi,กุมภวาปี,TH410415,Kumphawapi,กุมภวาปี,TH4104,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Nong Wa,หนองหว้า,TH410416,Kumphawapi,กุมภวาปี,TH4104,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Non Sa-At,โนนสะอาด,TH410501,Non Sa-At,โนนสะอาด,TH4105,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Bung Kaeo,บุ่งแก้ว,TH410502,Non Sa-At,โนนสะอาด,TH4105,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Pho Si Samran,โพธิ์ศรีสำราญ,TH410503,Non Sa-At,โนนสะอาด,TH4105,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Thom Na Ngam,ทมนางาม,TH410504,Non Sa-At,โนนสะอาด,TH4105,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Nong Kung Si,หนองกุงศรี,TH410505,Non Sa-At,โนนสะอาด,TH4105,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Khok Klang,โคกกลาง,TH410506,Non Sa-At,โนนสะอาด,TH4105,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Nong Han,หนองหาน,TH410601,Nong Han,หนองหาน,TH4106,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Nong Mek,หนองเม็ก,TH410602,Nong Han,หนองหาน,TH4106,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Phang Ngu,พังงู,TH410605,Nong Han,หนองหาน,TH4106,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Sabaeng,สะแบง,TH410606,Nong Han,หนองหาน,TH4106,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Soi Phrao,สร้อยพร้าว,TH410607,Nong Han,หนองหาน,TH4106,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Ban Chiang,บ้านเชียง,TH410609,Nong Han,หนองหาน,TH4106,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Ban Ya,บ้านยา,TH410610,Nong Han,หนองหาน,TH4106,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Phon Ngam,โพนงาม,TH410611,Nong Han,หนองหาน,TH4106,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Phak Top,ผักตบ,TH410612,Nong Han,หนองหาน,TH4106,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Nong Phai,หนองไผ่,TH410614,Nong Han,หนองหาน,TH4106,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Don Hai Sok,ดอนหายโศก,TH410617,Nong Han,หนองหาน,TH4106,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Nong Sa Pla,หนองสระปลา,TH410618,Nong Han,หนองหาน,TH4106,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Thung Fon,ทุ่งฝน,TH410701,Thung Fon,ทุ่งฝน,TH4107,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Thung Yai,ทุ่งใหญ่,TH410702,Thung Fon,ทุ่งฝน,TH4107,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Na Chum Saeng,นาชุมแสง,TH410703,Thung Fon,ทุ่งฝน,TH4107,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Na Thom,นาทม,TH410704,Thung Fon,ทุ่งฝน,TH4107,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Chai Wan,ไชยวาน,TH410801,Chai Wan,ไชยวาน,TH4108,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Nong Lak,หนองหลัก,TH410802,Chai Wan,ไชยวาน,TH4108,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Kham Lo,คำเลาะ,TH410803,Chai Wan,ไชยวาน,TH4108,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Phon Sung,โพนสูง,TH410804,Chai Wan,ไชยวาน,TH4108,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
