ADM3_EN,ADM3_TH,ADM3_PCODE,ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Khi Lek,ขี้เหล็ก,TH450308,Pathum Rat,ปทุมรัตต์,TH4503,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Hua Chang,หัวช้าง,TH450401,Chaturaphak Phiman,จตุรพักตรพิมาน,TH4504,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Nong Phue,หนองผือ,TH450402,Chaturaphak Phiman,จตุรพักตรพิมาน,TH4504,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Mueang Hong,เมืองหงส์,TH450403,Chaturaphak Phiman,จตุรพักตรพิมาน,TH4504,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Khok Lam,โคกล่าม,TH450404,Chaturaphak Phiman,จตุรพักตรพิมาน,TH4504,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Nam Sai,น้ำใส,TH450405,Chaturaphak Phiman,จตุรพักตรพิมาน,TH4504,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Dong Daeng,ดงแดง,TH450406,Chaturaphak Phiman,จตุรพักตรพิมาน,TH4504,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Dong Klang,ดงกลาง,TH450407,Chaturaphak Phiman,จตุรพักตรพิมาน,TH4504,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Pa Sang,ป่าสังข์,TH450408,Chaturaphak Phiman,จตุรพักตรพิมาน,TH4504,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
I Ngong,อีง่อง,TH450409,Chaturaphak Phiman,จตุรพักตรพิมาน,TH4504,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Lin Fa,ลิ้นฟ้า,TH450410,Chaturaphak Phiman,จตุรพักตรพิมาน,TH4504,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Du Noi,ดู่น้อย,TH450411,Chaturaphak Phiman,จตุรพักตรพิมาน,TH4504,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
