ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Mueang Surin,เมืองสุรินทร์,TH3201,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH
Chumphon Buri,ชุมพลบุรี,TH3202,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH
Tha Tum,ท่าตูม,TH3203,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH
Chom Phra,จอมพระ,TH3204,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH
Prasat,ปราสาท,TH3205,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH
Kap Choeng,กาบเชิง,TH3206,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH
Rattanaburi,รัตนบุรี,TH3207,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH
Sanom,สนม,TH3208,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH
Sikhoraphum,ศีขรภูมิ,TH3209,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH
Sangkha,สังขะ,TH3210,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH
Lamduan,ลำดวน,TH3211,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH
Samrong Thap,สำโรงทาบ,TH3212,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH
Buachet,บัวเชด,TH3213,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH
Phanom Dong Rak,พนมดงรัก,TH3214,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH
Si Narong,ศรีณรงค์,TH3215,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH
Khwao Sin Rin,เขวาสินรินทร์,TH3216,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH
Non Narai,โนนนารายณ์,TH3217,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH
