ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Mueang Pathum Thani,เมืองปทุมธานี,TH1301,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH
Khlong Luang,คลองหลวง,TH1302,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH
Thanyaburi,ธัญบุรี,TH1303,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH
Nong Suea,หนองเสือ,TH1304,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH
Lat Lum Kaeo,ลาดหลุมแก้ว,TH1305,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH
Lam Luk Ka,ลำลูกกา,TH1306,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH
Sam Khok,สามโคก,TH1307,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH
