ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Mueang Phangnga,เมืองพังงา,TH8201,Phangnga,พังงา,TH82,Thailand,ประเทศไทย,TH
Ko Yao,เกาะยาว,TH8202,Phangnga,พังงา,TH82,Thailand,ประเทศไทย,TH
Kapong,กะปง,TH8203,Phangnga,พังงา,TH82,Thailand,ประเทศไทย,TH
Takua Thung,ตะกั่วทุ่ง,TH8204,Phangnga,พังงา,TH82,Thailand,ประเทศไทย,TH
Takua Pa,ตะกั่วป่า,TH8205,Phangnga,พังงา,TH82,Thailand,ประเทศไทย,TH
Khura Buri,คุระบุรี,TH8206,Phangnga,พังงา,TH82,Thailand,ประเทศไทย,TH
Thap Put,ทับปุด,TH8207,Phangnga,พังงา,TH82,Thailand,ประเทศไทย,TH
Thai Mueang,ท้ายเหมือง,TH8208,Phangnga,พังงา,TH82,Thailand,ประเทศไทย,TH
