ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Mueang Phetchabun,เมืองเพชรบูรณ์,TH6701,Phetchabun,เพชรบูรณ์,TH67,Thailand,ประเทศไทย,TH
Chon Daen,ชนแดน,TH6702,Phetchabun,เพชรบูรณ์,TH67,Thailand,ประเทศไทย,TH
Lom Sak,หล่มสัก,TH6703,Phetchabun,เพชรบูรณ์,TH67,Thailand,ประเทศไทย,TH
Lom Kao,หล่มเก่า,TH6704,Phetchabun,เพชรบูรณ์,TH67,Thailand,ประเทศไทย,TH
Wichian Buri,วิเชียรบุรี,TH6705,Phetchabun,เพชรบูรณ์,TH67,Thailand,ประเทศไทย,TH
Si Thep,ศรีเทพ,TH6706,Phetchabun,เพชรบูรณ์,TH67,Thailand,ประเทศไทย,TH
Nong Phai,หนองไผ่,TH6707,Phetchabun,เพชรบูรณ์,TH67,Thailand,ประเทศไทย,TH
Bueng Sam Phan,บึงสามพัน,TH6708,Phetchabun,เพชรบูรณ์,TH67,Thailand,ประเทศไทย,TH
Nam Nao,น้ำหนาว,TH6709,Phetchabun,เพชรบูรณ์,TH67,Thailand,ประเทศไทย,TH
Wang Pong,วังโป่ง,TH6710,Phetchabun,เพชรบูรณ์,TH67,Thailand,ประเทศไทย,TH
Khao Kho,เขาค้อ,TH6711,Phetchabun,เพชรบูรณ์,TH67,Thailand,ประเทศไทย,TH
