ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Mueang Ratchaburi,เมืองราชบุรี,TH7001,Ratchaburi,ราชบุรี,TH70,Thailand,ประเทศไทย,TH
Chom Bueng,จอมบึง,TH7002,Ratchaburi,ราชบุรี,TH70,Thailand,ประเทศไทย,TH
Suan Phueng,สวนผึ้ง,TH7003,Ratchaburi,ราชบุรี,TH70,Thailand,ประเทศไทย,TH
Damnoen Saduak,ดำเนินสะดวก,TH7004,Ratchaburi,ราชบุรี,TH70,Thailand,ประเทศไทย,TH
Ban Pong,บ้านโป่ง,TH7005,Ratchaburi,ราชบุรี,TH70,Thailand,ประเทศไทย,TH
Bang Phae,บางแพ,TH7006,Ratchaburi,ราชบุรี,TH70,Thailand,ประเทศไทย,TH
Photharam,โพธาราม,TH7007,Ratchaburi,ราชบุรี,TH70,Thailand,ประเทศไทย,TH
Pak Tho,ปากท่อ,TH7008,Ratchaburi,ราชบุรี,TH70,Thailand,ประเทศไทย,TH
Wat Phleng,วัดเพลง,TH7009,Ratchaburi,ราชบุรี,TH70,Thailand,ประเทศไทย,TH
Ban Kha,บ้านคา,TH7010,Ratchaburi,ราชบุรี,TH70,Thailand,ประเทศไทย,TH
